,cat,nombre,estado,area_ha,interseccion_ha,interseccion_porc,region,lote_petrolero,empresa,pais
0,Comunidad Nativa,José Olaya,Titulada,88943.839083,88943.827389,99.99998685,Loreto,SM50-18,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
1,Comunidad Nativa,12 de Octubre,Titulada,90145.179643,88068.888891,97.6967257,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
2,Comunidad Nativa,Bufeo Pozo,Solicitud de Ampliación,87112.534906,87112.534946,100.0,Ucayali,LXVIII,HUNT OIL COMPANY OF PERÚ,Perú
3,Comunidad Nativa,Kuyuntsa,Titulada,85977.968725,85977.968725,100.0,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
4,Comunidad Nativa,Belén,Titulada,79588.212901,79588.212901,100.0,Loreto,SM50-18,PLUSPETROL NORTE S.A.,Perú
5,Comunidad Nativa,Paiche Playa,Titulada,79992.969842,76992.761258,96.24940968,Loreto,SM50-18,,Perú
6,Comunidad Nativa,Antamite - Tierra Prometida,Solicitud de Titulación,76211.238973,76105.397042,99.86112031,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
7,Comunidad Nativa,"Atahualpa y Anx Sta Rosa, Sachapapa, Napuruka, Palestina, Nvo Belén, Nvo Soledad, Nazareth, Huascar",Titulada,79614.55622,72903.782845,91.57092158,Loreto,SM24-17,,Perú
8,Comunidad Nativa,"Hortencia Cocha y Anexos San Fernando, Chimara, Nuevo Progreso y Nuevo Ucayali",Titulada,70647.845344,70647.842769,99.99999636,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
9,Comunidad Nativa,Mencoriari,Titulada,62801.974864,62801.974864,100.0,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
10,Comunidad Nativa,Puerto Pijuayal,Titulada,59427.722581,59427.722581,100.0,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
11,Comunidad Nativa,Pandora  y Anexo Sinchi Roca,Titulada,58281.704744,58281.704744,100.0,Loreto,SM24-17,,Perú
12,Comunidad Nativa,Nueva Esperanza y Anexos,Titulada,54809.859192,54809.859194,100.0,Loreto,SM43-17,,Perú
13,Comunidad Nativa,Nueva Yarina y Anexos,Titulada,54465.512022,54465.512022,100.0,Loreto,SM26-17,,Perú
14,Comunidad Nativa,Betania,Titulada,70535.111151,52222.001044,74.03688772,Loreto,192,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
15,Comunidad Nativa,Antioquia,Titulada,50084.161083,50084.161083,100.0,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
16,Comunidad Nativa,Nueva Shahuaya,Titulada,46515.02387,46469.79821,99.90277193,Ucayali,F01-17,,Perú
17,Comunidad Nativa,Kushilla Anexo Santa María,Titulada,46466.272747,46466.272747,100.0,Loreto,SM36-17,,Perú
18,Comunidad Nativa,San Juan de Inuya,Titulada,45809.330249,45607.000991,99.55832304,Ucayali,LXVIII,HUNT OIL COMPANY OF PERÚ,Perú
19,Comunidad Nativa,Nueva York,Titulada,44865.443261,44865.443261,100.0,Loreto,SM30-17,,Perú
20,Comunidad Nativa,Cametsari Quipatsi,Titulada,43566.787196,43566.787196,100.0,Ucayali,SM52-19,,Perú
21,Comunidad Nativa,Muruinia,Titulada,42340.62004,42340.62004,100.0,Ucayali,SM46-18,,Perú
22,Comunidad Nativa,Vista Alegre,Titulada,40489.753865,40489.753865,100.0,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
23,Comunidad Nativa,"San Juan Anexos Santa Cruz, Shapaja, Shinkatam",Titulada,60663.670229,40488.78297,66.74304871,Loreto,F22-17,GEOPARK PERU S.A.C,Perú
24,Comunidad Nativa,Uwintsa,Titulada,39650.740879,39650.740879,100.0,Loreto,SM36-17,,Perú
25,Comunidad Nativa,Pachacutec,Titulada,87755.739823,38676.192499,44.07255021,Loreto,SM24-17,,Perú
26,Comunidad Nativa,Marsella,Titulada,38525.993035,38467.027657,99.84694651,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
27,Comunidad Nativa,Loboyacu,Titulada,37047.698224,37047.698224,100.0,Loreto,SM36-17,,Perú
28,Comunidad Nativa,Santa Rosa,Titulada,37010.572387,37010.56506,99.9999802,Loreto,SM43-17,,Perú
29,Comunidad Nativa,Sawawo - Hito 40,Titulada,35997.066933,35991.659818,99.98497901,Ucayali,F01-17,,Perú
30,Comunidad Nativa,Parantari,Titulada,35729.817599,35728.885222,99.99739048,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
31,Comunidad Nativa,Wicungo - Alto Tapiche,Solicitud de Titulación,35491.162975,35491.162975,100.0,Loreto,F22-17,,Perú
32,Comunidad Nativa,Yutupis,Titulada,36719.240875,35327.699975,96.21032225,Amazonas,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
33,Comunidad Nativa,Puerto Huallana,Titulada,35112.359897,35112.359897,100.0,Cusco,58,CNPC PERU S.A.,Perú
34,Comunidad Nativa,Pampa Hermosa,Titulada,35026.687382,35026.687382,100.0,Loreto,SM42-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
35,Comunidad Nativa,Churinashi,Titulada,34753.539444,34753.539411,99.99999991,Ucayali,LXVIII,HUNT OIL COMPAÑY OF PERÚ,Perú
36,Comunidad Nativa,Puerto Nuevo,Titulada,68358.017796,34669.389663,50.71737125,Ucayali,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
37,Comunidad Nativa,Tsoroja,Titulada,34139.89884,33987.796598,99.55447366,Junin,F42-19,,Perú
38,Comunidad Nativa,Colpa,Solicitud de Titulación,32849.423216,32598.609964,99.23647593,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
39,Comunidad Nativa,"Sinchi Roca Anexos Nueva Israel, Chorros, Nueva Jerusalén y Yanayacu",Titulada,32290.053838,32290.053838,100.0,Amazonas,SM23-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
40,Comunidad Nativa,Yurilamas,Titulada,32163.434831,32163.434831,100.0,San Martin,103,"REPSOL EXPLORACION PERU, SUCURSAL DEL PERU",Perú
41,Comunidad Nativa,Caupan,Titulada,47152.399792,32052.033684,67.97540279,Loreto,SM24-17,,Perú
42,Comunidad Nativa,Esperanza de Yuracyacu,Titulada,33800.424171,31817.028618,94.13203946,Loreto,SM20-17,,Perú
43,Comunidad Nativa,Timpia,Titulada,36827.30773,31792.067797,86.32742863,Cusco,58,CNPC PERU S.A.,Perú
44,Comunidad Nativa,Panguintsa,Titulada,31730.045685,31730.045685,100.0,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
45,Comunidad Nativa,Puija,Solicitud de Ampliación,36240.648575,31259.647737,86.25576243,Ucayali,LXVIII,HUNT OIL COMPANY OF PERÚ,Perú
46,Comunidad Nativa,San Francisco de Choroyacu,Titulada,31248.731378,31248.731378,100.0,Loreto,SM30-17,,Perú
47,Comunidad Nativa,Naranjal,Titulada,30928.694116,30928.694116,100.0,Loreto,SM50-18,,Perú
48,Comunidad Nativa,Achu,Titulada,29881.754387,29881.754387,100.0,Amazonas,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
49,Comunidad Nativa,Santa Isabel de Tahuanía,Solicitud de Titulación,29769.74352,29769.74352,100.0,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
50,Comunidad Nativa,Porvenir,Titulada,29443.742287,29443.742287,100.0,Loreto,SM24-17,,Perú
51,Comunidad Nativa,Flor de Chengari,Titulada,30719.083149,29048.6495,94.56222817,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
52,Comunidad Nativa,San Luis de Charasmana,Titulada,28779.122137,28779.122137,100.0,Loreto,SM46-18,,Perú
53,Comunidad Nativa,Alto Cohengua,Titulada,28722.413528,28722.413528,100.0,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
54,Comunidad Nativa,Capiroshari,Solicitud de Titulación,28555.550512,28555.550512,100.0,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
55,Comunidad Nativa,Santa Sofía,Solicitud de Titulación,28463.436625,28140.261677,98.86459618,San Martin,SM27-17,YPF E & P PERÚ S.A.C.,Perú
56,Comunidad Nativa,Lobo Santa Rocino,Solicitud de Titulación,39074.996166,27934.384612,71.48915509,Loreto,F22-17,GRAN TIERRA ENERGY PERU S.R.L.,Perú
57,Comunidad Nativa,Nueva Jerusalén,Titulada,27823.627602,27823.627602,100.0,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
58,Comunidad Nativa,Poyeni,Titulada,27520.429676,27520.429676,100.0,Ucayali,F42-19,,Perú
59,Comunidad Nativa,Achual Tipishca,Titulada,29842.805925,27501.473665,92.15445,Loreto,SM20-17,,Perú
60,Comunidad Nativa,Palmiche y Anexo Zapote y Chacatan,Titulada,27386.503771,27386.503771,100.0,Loreto,SM24-17,YPF E & P PERÚ S.A.C.,Perú
61,Comunidad Nativa,Ticumpinia,Titulada,34688.936786,27370.758249,78.9034222,Cusco,88,CNPC PERU S.A.,Perú
62,Comunidad Nativa,El Dorado,Titulada,27255.001301,27255.001301,100.0,Ucayali,F01-17,,Perú
63,Comunidad Nativa,Wijint,Titulada,27024.906875,27024.906875,100.0,Loreto,64,GEOPARK PERU S.A.C,Perú
64,Comunidad Nativa,Manco Capac,Solicitud de Ampliación,67813.734689,26988.645445,39.79819954,Loreto,SM46-18,,Perú
65,Comunidad Nativa,Camana,Titulada,26689.647412,26689.647412,100.0,Cusco,58,CNPC PERU S.A.,Perú
66,Comunidad Nativa,Carpintero,Titulada,26680.483456,26640.865059,99.85150795,Cusco,F42-19,"CNPC PERU S.A., REPSOL EXPLORATION PERÚ",Perú
67,Comunidad Nativa,La Cumbre,Titulada,26627.261433,26627.261433,100.0,Ucayali,SM46-18,,Perú
68,Comunidad Nativa,Centro Tsomaveni,Titulada,52085.496843,26555.014372,50.98350977,Junin,108,PLUSPETROL E&P S.A.,Perú
69,Comunidad Nativa,Chamikar,Titulada,26467.930954,26467.930954,100.0,Amazonas,F02-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
70,Comunidad Nativa,Mayapo,Titulada,26415.900673,26415.900673,100.0,Cusco,58,CNPC PERU S.A.,Perú
71,Comunidad Nativa,Washientsa,Titulada,26398.505031,26398.505031,100.0,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
72,Comunidad Nativa,Kochiri,Titulada,26345.343034,26345.343034,100.0,Cusco,58,CNPC PERU S.A.,Perú
73,Comunidad Nativa,Tres Unidos de Matereni,Titulada,32888.687052,26204.731023,79.677036,Junin,108,PLUSPETROL E&P S.A.,Perú
74,Comunidad Nativa,Nuevo Soplín,Titulada,25886.370166,25886.370166,100.0,Loreto,SM36-17,,Perú
75,Comunidad Nativa,Sungachi,Titulada,25829.58522,25829.58522,100.0,Loreto,SM36-17,,Perú
76,Comunidad Nativa,Chachibai,Titulada,25816.466352,25816.466352,100.0,Ucayali,SM04-17,,Perú
77,Comunidad Nativa,Piura,Titulada,25756.969499,25756.969499,100.0,Loreto,SM30-17,,Perú
78,Comunidad Nativa,Koshireni,Titulada,29389.28544,25725.603718,87.53395441,Ucayali,F01-17,,Perú
79,Comunidad Nativa,Tangoshiari,Titulada,25681.699492,25681.699493,100.0,Cusco,F42-19,CNPC PERU S.A.,Perú
80,Comunidad Nativa,Puranchin,Titulada,25619.807314,25619.807314,100.0,Loreto,SM50-18,GEOPARK PERU S.A.C,Perú
81,Comunidad Nativa,28 de Julio,Titulada,26107.261062,25617.636762,98.12456658,Loreto,SM50-18,,Perú
82,Comunidad Nativa,Belén,Titulada,25073.461139,25073.461139,100.0,Amazonas,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
83,Comunidad Nativa,Wajai,Titulada,24322.692594,24322.692594,100.0,Amazonas,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
84,Comunidad Nativa,Flor de Ucayali,Titulada,24207.51977,24180.979926,99.89036529,Ucayali,SM05-17,,Perú
85,Comunidad Nativa,Alvarenga Sector A,Titulada,24086.435244,24086.435244,100.0,Loreto,SM38-17,,Perú
86,Comunidad Nativa,Yamino,Titulada,29409.829815,24077.589819,81.86919125,Ucayali,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
87,Comunidad Nativa,"Nueva Alegría Anexos Triunfo, Kusuim y Tres de Mayo",Titulada,55672.148757,24012.977722,43.13283798,Loreto,F22-17,,Perú
88,Comunidad Nativa,Barranquita Anexos Buenos Aires Aichiyacu,Titulada,23970.070616,23970.070616,100.0,Loreto,SM24-17,,Perú
89,Comunidad Nativa,Mamus,Titulada,23963.01001,23963.01001,100.0,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
90,Comunidad Nativa,Nueva Vida de Sheshea,Solicitud de Titulación,23830.925632,23830.925632,100.0,Ucayali,SM07-17,,Perú
91,Comunidad Nativa,Ayllu,Solicitud de Titulación,23529.242995,23529.242995,100.0,Ucayali,F42-19,,Perú
92,Comunidad Nativa,Nuevo Irasola,Titulada,23526.760053,23526.760053,100.0,Loreto,SM46-18,,Perú
93,Comunidad Nativa,Achu Anexo Cachiyacu,Titulada,197720.52428,23475.072818,11.87285584,Loreto,SM24-17,,Perú
94,Comunidad Nativa,Puija,Titulada,23064.584556,23064.584614,100.0000003,Ucayali,LXVIII,HUNT OIL COMPANY OF PERÚ,Perú
95,Comunidad Nativa,Boca del Copal,Titulada,23043.118258,23043.118258,100.0,Loreto,SM50-18,,Perú
96,Comunidad Nativa,Cutivireni,Titulada,34055.935098,22850.078258,67.09572999,Junin,108,PLUSPETROL E&P S.A.,Perú
97,Comunidad Nativa,8 de Octubre,Titulada,22834.84475,22834.84475,100.0,Loreto,SM37-17,,Perú
98,Comunidad Nativa,Mariscal Cáceres,Titulada,25755.451398,22750.746613,88.33371336,Ucayali,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
99,Comunidad Nativa,Nueva California de Shatañya,Solicitud de Titulación,22632.043813,22632.043813,100.0,Ucayali,201,,Perú
100,Comunidad Nativa,Sake,Titulada,22378.206548,22378.206548,100.0,Loreto,SM24-17,,Perú
101,Comunidad Nativa,Puerto Esperanza de Sheshea,Titulada,22361.784956,22357.865049,99.98247051,Ucayali,F37-18,,Perú
102,Comunidad Nativa,Brasilia,Titulada,22238.805946,22238.805946,100.0,Loreto,F22-17,GEOPARK PERU S.A.C,Perú
103,Comunidad Nativa,Nuevo Canaán,Titulada,22211.735483,22211.735483,100.0,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
104,Comunidad Nativa,Nuevo Sabaloyacu,Titulada,22199.370064,22199.370064,100.0,Loreto,SM36-17,,Perú
105,Comunidad Nativa,Huagramona,Titulada,21958.978848,21958.978848,100.0,Loreto,SM50-18,,Perú
106,Comunidad Nativa,Nuevo Capanahua - Río Blanco,Solicitud de Titulación,25079.404419,21817.310317,86.99293633,Loreto,F22-17,,Perú
107,Comunidad Nativa,Centro Apinihua,Solicitud de Ampliación,21811.759462,21811.759333,99.99999941,Ucayali,LXVIII,HUNT OIL COMPANY OF PERÚ,Perú
108,Comunidad Nativa,Rayayacu,Titulada,21747.914766,21747.914766,100.0,Loreto,SM33-17,,Perú
109,Comunidad Nativa,Shinguito,Titulada,24334.751133,21524.350802,88.4510825,Loreto,F22-17,,Perú
110,Comunidad Nativa,San Francisco del Algodonal,Titulada,21493.788319,21493.788319,100.0,Loreto,SM37-17,,Perú
111,Comunidad Nativa,Canapishtea,Titulada,21442.341602,21442.341602,100.0,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
112,Comunidad Nativa,Estrella y Anexo Nuevo Laurel,Titulada,21309.0894,21309.0894,100.0,Loreto,SM26-17,,Perú
113,Comunidad Nativa,Junín de Pavayacu,Titulada,20819.534637,20819.534637,100.0,Loreto,SM37-17,,Perú
114,Comunidad Nativa,Puerto Alegre,Titulada,20753.514766,20753.514766,100.0,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
115,Comunidad Nativa,Yankuntich,Titulada,20632.772449,20632.772449,100.0,Loreto,64,GEOPARK PERU S.A.C,Perú
116,Comunidad Nativa,Guayabal,Titulada,20630.393514,20630.393514,100.0,Amazonas,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
117,Comunidad Nativa,Churuntsa,Titulada,20416.56108,20416.56108,100.0,Loreto,SM50-18,,Perú
118,Comunidad Nativa,Sovatero,Solicitud de Titulación,20365.708156,20365.708156,100.0,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
119,Comunidad Nativa,Camisea,Titulada,20359.596854,20359.596854,100.0,Cusco,58,CNPC PERU S.A.,Perú
120,Comunidad Nativa,Unión,Titulada,20179.285836,20179.285836,100.0,Loreto,SM32-17,,Perú
121,Comunidad Nativa,Kunchín,Titulada,23420.821368,20172.664084,86.13132634,Amazonas,F02-17,,Perú
122,Comunidad Nativa,San Manuel Nashatauri,Solicitud de Titulación,20171.339341,20171.339341,100.0,San Martin,SM27-17,,Perú
123,Comunidad Nativa,Nuevo Horizonte,Titulada,20085.623181,20085.623181,100.0,Loreto,SM43-17,,Perú
124,Comunidad Nativa,Potsoteni,Titulada,20075.107811,20075.107811,100.0,Junin,108,PLUSPETROL E&P S.A.,Perú
125,Comunidad Nativa,San Juan,Titulada,20063.202571,20063.202571,100.0,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
126,Comunidad Nativa,Túpac Amaru - Ampliación I,Solicitud de Ampliación,19995.588343,19995.588343,100.0,Loreto,SM46-18,,Perú
127,Comunidad Nativa,Mayapo,Titulada,19922.440168,19908.864674,99.93185828,Ucayali,LXVII,HUNT OIL COMPANY OF PERÚ,Perú
128,Comunidad Nativa,Beu,Titulada,19894.001647,19894.001638,99.99999995,Ucayali,F01-17,,Perú
129,Comunidad Nativa,Meteni,Titulada,19785.409899,19785.409899,100.0,Junin,108,PLUSPETROL E&P S.A.,Perú
130,Comunidad Nativa,Pañayacu,Titulada,19697.305153,19697.305153,100.0,Loreto,SM50-18,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
131,Comunidad Nativa,Puerto Luz,Titulada,56380.51697,19461.11973,34.51745528,Madre de Dios,SM53-19,,Perú
132,Comunidad Nativa,Chipe Cuzu,Titulada,29115.257191,19448.286161,66.79757638,Amazonas,F02-17,,Perú
133,Comunidad Nativa,Sachavaca,Titulada,19392.499158,19392.499158,100.0,Loreto,SM24-17,YPF E & P PERÚ S.A.C.,Perú
134,Comunidad Nativa,Wampientsa,Titulada,19365.565047,19365.565047,100.0,Loreto,64,GEOPARK PERU S.A.C,Perú
135,Comunidad Nativa,Unipacuyacu,Solicitud de Titulación,21052.08352,19334.188719,91.83978726,Huanuco,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
136,Comunidad Nativa,Esperanza,Titulada,19322.617971,19322.617971,100.0,Loreto,SM37-17,,Perú
137,Comunidad Nativa,Monte Verde,Titulada,19248.958008,19248.958008,100.0,Loreto,SM30-17,,Perú
138,Comunidad Nativa,Onconashary,Solicitud de Titulación,23793.519922,19234.224229,80.83807815,Ucayali,F01-17,,Perú
139,Comunidad Nativa,Panintza,Titulada,19208.191909,19208.191909,100.0,Loreto,64,GEOPARK PERU S.A.C,Perú
140,Comunidad Nativa,Quiteni,Titulada,19051.232118,19051.232118,100.0,Junin,108,PLUSPETROL E&P S.A.,Perú
141,Comunidad Nativa,Pampa Hermosa,Titulada,20497.486106,18949.375557,92.44731505,Loreto,SM20-17,,Perú
142,Comunidad Nativa,Oori,Titulada,19206.930004,18870.973639,98.2508586,Ucayali,F01-17,,Perú
143,Comunidad Nativa,Urakuza,Titulada,18832.945582,18832.945582,100.0,Amazonas,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
144,Comunidad Nativa,Unión Miraflores Capirona,Titulada,18794.656419,18794.656417,99.99999999,Ucayali,LXVII,HUNT OIL COMPANY OF PERÚ,Perú
145,Comunidad Nativa,Paoyhan,Titulada,18767.070507,18767.070507,100.0,Ucayali,SM47-18,,Perú
146,Comunidad Nativa,Segakiato,Titulada,20547.528111,18743.004023,91.21780451,Cusco,88,CNPC PERU S.A.,Perú
147,Comunidad Nativa,Santa Rosa,Titulada,19073.908701,18724.682631,98.16909017,Ucayali,F01-17,,Perú
148,Comunidad Nativa,San Pablo,Titulada,24122.541343,18631.414153,77.23653113,Ucayali,F01-17,,Perú
149,Comunidad Nativa,Tamarate,Titulada,18580.636433,18580.636433,100.0,Loreto,SM37-17,,Perú
150,Comunidad Nativa,Kasurtsa,Titulada,18563.270062,18563.270062,100.0,Loreto,SM50-18,GEOPARK PERU S.A.C,Perú
151,Comunidad Nativa,Nueva Vida,Titulada,18519.797706,18519.797706,100.0,Loreto,SM50-18,,Perú
152,Comunidad Nativa,Santa Rosillo de Yanayacu,Solicitud de Titulación,23339.045253,18515.972019,79.33474492,San Martin,SM29-17,,Perú
153,Comunidad Nativa,Unión Miraflores Capirona,Solicitud de Ampliación,18615.323923,18396.607523,98.82507336,Ucayali,LXVII,HUNT OIL COMPANY OF PERÚ,Perú
154,Comunidad Nativa,Pucayacu,Titulada,18325.186362,18325.186362,100.0,Loreto,SM40-17,,Perú
155,Comunidad Nativa,Nuevo Perú,Titulada,18272.063429,18272.063429,100.0,Loreto,64,GEOPARK PERU S.A.C,Perú
156,Comunidad Nativa,Porotobango,Titulada,18179.319401,18179.319401,100.0,Cusco,F42-19,REPSOL EXPLORATION PERÚ,Perú
157,Comunidad Nativa,Cheni,Titulada,17779.095074,17779.095074,100.0,Junin,F42-19,,Perú
158,Comunidad Nativa,Santa Rosita de Apua,Solicitud de Titulación,25142.816102,17629.299776,70.11664765,Ucayali,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
159,Comunidad Nativa,Buena Vista Anexo Copal,Titulada,17544.810412,17544.810412,100.0,Loreto,SM22-17,,Perú
160,Comunidad Nativa,Shimpiyacu,Titulada,17503.130694,17501.279948,99.9894262,San Martin,LVIII,YPF E & P PERÚ S.A.C.,Perú
161,Comunidad Nativa,Campo Verde,Titulada,17252.77964,17252.244755,99.99689972,Loreto,SM32-17,,Perú
162,Comunidad Nativa,Yujagkim,Titulada,17109.032523,17109.032523,100.0,Amazonas,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
163,Comunidad Nativa,Puerto Esperanza,Titulada,19818.054524,17026.659946,85.91489102,Ucayali,LXVII,HUNT OIL COMPAÑY OF PERÚ,Perú
164,Comunidad Nativa,Nueva Santa Ana,Solicitud de Titulación,16960.256117,16960.256114,99.99999998,Ucayali,F01-17,,Perú
165,Comunidad Nativa,Nuevo San Juan,Titulada,16952.555717,16922.538616,99.82293466,Ucayali,SM07-17,,Perú
166,Comunidad Nativa,Chuintar,Titulada,16905.681648,16905.681648,100.0,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
167,Comunidad Nativa,Siwin,Titulada,16737.415778,16737.415778,100.0,Loreto,SM50-18,,Perú
168,Comunidad Nativa,Puerto Chingana,Titulada,16579.016316,16579.016316,100.0,Loreto,SM32-17,,Perú
169,Comunidad Nativa,San Lorenzo Anexo Puerto Rico,Titulada,16542.673899,16542.673899,100.0,Loreto,SM43-17,,Perú
170,Comunidad Nativa,Septimo Unidos de Santa Fé de Aguachini,Titulada,17335.434431,16479.185796,95.06070276,Pasco,LXIII,"PLUSPETROL E&P S.A. , REPSOL EXPLORACIÓN S.A.",Perú
171,Comunidad Nativa,Apinihua,Titulada,16777.984003,16390.650741,97.69141953,Ucayali,LXVII,HUNT OIL COMPANY OF PERÚ,Perú
172,Comunidad Nativa,Nueva Reforma del Patoyacu,Titulada,16356.259989,16356.259989,100.0,Loreto,SM40-17,,Perú
173,Comunidad Nativa,Arahuante,Titulada,16220.315237,16219.969368,99.99786768,Loreto,SM20-17,,Perú
174,Comunidad Nativa,Santa Rosa de Sheshea,Titulada,16091.878835,16091.878835,100.0,Ucayali,F37-18,,Perú
175,Comunidad Nativa,Santa Emilia,Titulada,18317.420886,16087.115576,87.82413024,Loreto,SM30-17,,Perú
176,Comunidad Nativa,San Antonio de Rumiyacu,Titulada,15984.074347,15984.074347,100.0,Loreto,SM31-17,,Perú
177,Comunidad Nativa,Nuevo Mundo de Pavayacu,Titulada,15785.538839,15785.538839,100.0,Loreto,SM37-17,,Perú
178,Comunidad Nativa,Shoroyacocha -  P. Pijuayal,Titulada,18540.130054,15726.152974,84.82223657,Loreto,SM26-17,,Perú
179,Comunidad Nativa,Nueva Jerusalén de Sheshea,Titulada,16444.007307,15647.049852,95.15350827,Ucayali,SM07-17,,Perú
180,Comunidad Nativa,Pucacuro,Titulada,15648.686965,15646.13996,99.98372384,Loreto,SM42-17,PLUSPETROL NORTE S.A.,Perú
181,Comunidad Nativa,Alto Tamaya - Saweto,Titulada,77624.810381,15474.385463,19.93484478,Ucayali,F01-17,,Perú
182,Comunidad Nativa,Nueva Amazonia de Tomajao,Solicitud de Titulación,15444.501106,15444.501106,100.0,Ucayali,SM52-19,,Perú
183,Comunidad Nativa,Mayuriaga,Titulada,27001.861027,15359.613686,56.88353729,Loreto,SM26-17,,Perú
184,Comunidad Nativa,Yarau,Titulada,15355.645982,15353.629821,99.98687023,San Martin,LVIII,"REPSOL EXPLORACION PERU, SUCURSAL DEL PERU, YPF E & P PERÚ S.A.C.",Perú
185,Comunidad Nativa,Alvarenga Sector B,Titulada,15234.857489,15234.857489,100.0,Loreto,SM38-17,,Perú
186,Comunidad Nativa,Suhaya,Titulada,15199.324858,15199.324858,100.0,Loreto,SM54-19,,Perú
187,Comunidad Nativa,Puerto Belén,Titulada,15031.902532,15031.902532,100.0,Ucayali,SM07-17,,Perú
188,Comunidad Nativa,Santa Rosa,Titulada,14963.964512,14963.964512,100.0,Ucayali,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
189,Comunidad Nativa,Shivankoreni,Titulada,29318.76546,14894.858289,50.80315646,Cusco,88,CNPC PERU S.A.,Perú
190,Comunidad Nativa,Chembo,Titulada,14851.74483,14851.74483,100.0,Ucayali,LXVII,HUNT OIL COMPANY OF PERÚ,Perú
191,Comunidad Nativa,Santa Martha,Titulada,26870.141778,14729.452109,54.81717302,Loreto,SM24-17,,Perú
192,Comunidad Nativa,San Juan de Pavayacu,Titulada,14712.169933,14712.169933,100.0,Loreto,SM37-17,,Perú
193,Comunidad Nativa,San Ramón de Sinar,Titulada,14503.7255,14503.7255,100.0,Loreto,SM24-17,YPF E & P PERÚ S.A.C.,Perú
194,Comunidad Nativa,Santa Martha,Titulada,14494.919809,14494.919809,100.0,Huanuco,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
195,Comunidad Nativa,Pucallpa,Titulada,14444.582849,14444.582849,100.0,Loreto,SM37-17,,Perú
196,Comunidad Nativa,Puerto Esperanza,Solicitud de Ampliación,14420.171807,14420.171806,99.99999999,Ucayali,LXVII,HUNT OIL COMPAÑY OF PERÚ,Perú
197,Comunidad Nativa,Amaquiria,Titulada,16899.62693,14394.538027,85.17666151,Ucayali,SM07-17,,Perú
198,Comunidad Nativa,Mencoriari,Solicitud de Titulación,14387.026593,14387.026593,100.0,Junin,108,PLUSPETROL E&P S.A.,Perú
199,Comunidad Nativa,Titiyacu,Titulada,14354.776082,14354.776082,100.0,Loreto,SM50-18,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
200,Comunidad Nativa,Morroyacu,Titulada,14324.122349,14324.122349,100.0,San Martin,LVIII,YPF E & P PERÚ S.A.C.,Perú
