,codigo,cat,nombre,ubicacion,area_ha,interseccion_ha,interseccion_porc,lote_petrolero,empresa,pais
138,,Reserva de Producción de Fauna,Cuyabeno,SUCUMBIOS,588613.015476,130608.885511,22.18926223,"CUYABENO-TIPISHCA, EDEN-YUTURI, TARAPOA","ANDES PETROLEUM ECUADOR LTD, PETROAMAZONAS EP",Ecuador
139,,Bosque Protector,CUEMBI,SUCUMBIOS,102856.982462,102856.980323,99.99999792,"CUYABENO-TIPISHCA, VINITA",PETROAMAZONAS EP,Ecuador
140,,Bosque Protector,CERRO SUMACO Y CUENCA ALTA DEL RIO SUNO,"NAPO, ORELLANA",98673.262997,84551.71095,85.68857295,"BLOQUE 29, PUNGARAYACU",SECRETARIA DE HIDROCARBUROS,Ecuador
141,,Bosque Protector,PANACOCHA,SUCUMBIOS,53389.496156,53389.496156,100.0,EDEN-YUTURI,PETROAMAZONAS EP,Ecuador
142,,Reserva Ecológica,Cofán Bermejo,SUCUMBIOS,52901.591232,47518.908112,89.82510168,"BERMEJO, LUMBAQUI","PETROAMAZONAS EP, TECPECUADOR S.A.",Ecuador
143,,Bosque Protector,RIO AGUARICO,ORELLANA,47736.579543,38051.063487,79.71049424,ITT,PETROAMAZONAS EP,Ecuador
144,,Bosque Protector,EL BERMEJO,SUCUMBIOS,10858.967112,10858.967112,100.0,BERMEJO,TECPECUADOR S.A.,Ecuador
145,,Parque Nacional,Sumaco Napo-Galeras,"NAPO, ORELLANA",205823.919649,5662.172098,2.750978656,"LUMBAQUI, PALO AZUL",PETROAMAZONAS EP,Ecuador
146,,Reserva Biológica,Limoncocha,SUCUMBIOS,3673.378983,3673.378983,100.0,INDILLANA,PETROAMAZONAS EP,Ecuador
147,,Bosque Protector,CEPLOA,PASTAZA,3322.647881,3322.647881,100.0,VILLANO,AGIP OIL ECUADOR B.V.,Ecuador
148,,Bosque Protector,TSURAKU O ARUTAM,PASTAZA,2759.713031,2759.713031,100.0,BLOQUE 70,SECRETARIA DE HIDROCARBUROS,Ecuador
149,,Bosque Protector,LA CASCADA,NAPO,26332.899705,1823.013835,6.922951348,LUMBAQUI,PETROAMAZONAS EP,Ecuador
150,,Bosque Protector,HABITAGUA,PASTAZA,4422.549707,1780.430945,40.25801999,MIRADOR,CONSORCIO BLOQUE 28,Ecuador
151,,Bosque Protector,"CUENCAS DE LOS RIOS COLONSO, TENA, SHITI",NAPO,2014.086713,1780.34348,88.39457946,PUNGARAYACU,SECRETARIA DE HIDROCARBUROS,Ecuador
152,,Bosque Protector,SACHA LODGE,SUCUMBIOS,1466.771753,1466.771753,100.0,INDILLANA,PETROAMAZONAS EP,Ecuador
153,,Bosque Protector,PARTE MEDIA Y ALTA DEL RIO TIGRE,SUCUMBIOS,5357.051911,1065.810574,19.89546847,LUMBAQUI,PETROAMAZONAS EP,Ecuador
154,,Bosque Protector,ESTACION CIENTIFICA PAYAMINO,ORELLANA,1030.372416,1030.372416,100.0,"COCA-PAYAMINO, PBHI","ENAP SIPETROL S.A., PETROAMAZONAS EP",Ecuador
155,,Bosque Protector,MORAVIA,PASTAZA,603.986117,603.986117,100.0,MIRADOR,CONSORCIO BLOQUE 28,Ecuador
156,,Bosque Protector,JAWA JEE,PASTAZA,544.67034,544.67034,100.0,MIRADOR,CONSORCIO BLOQUE 28,Ecuador
157,,Bosque Protector,SELVA VIVA,NAPO,522.634743,522.634743,100.0,"BLOQUE 29, YURALPA","PETROAMAZONAS EP, SECRETARIA HIDROCARBUROS",Ecuador
158,,Bosque Protector,MONDANA,NAPO,370.552488,370.552488,100.0,YURALPA,PETROAMAZONAS EP,Ecuador
159,,Bosque Protector,YACUMA,NAPO,261.81723,261.81723,100.0,YURALPA,PETROAMAZONAS EP,Ecuador
160,,Bosque Protector,VENECIA,NAPO,168.369354,168.369354,100.0,BLOQUE 29,SECRETARIA DE HIDROCARBUROS,Ecuador
161,,Bosque Protector,ESTACION CIENTIFICA SAN CARLOS,ORELLANA,109.018863,109.018863,100.0,SASHA,PETROAMAZONAS EP,Ecuador
162,,Parque Nacional,Cayambe Coca,SUCUMBIOS,408031.097526,75.669063,0.01854492549,BERMEJO,TECPECUADOR S.A.,Ecuador
